ZN,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,クラスタ1との距離,クラスタ2との距離
18.0,0,-0.1171198732055518,6.575,65.2,4.09,1,296.0,15.3,396.9,4.98,24.0,280.14072169454187,601.337020919911
0.0,0,-0.7153550379777306,6.421,78.9,4.9671,2,242.0,17.8,396.9,9.14,21.6,318.1466224148697,667.0326141896126
0.0,0,-0.7153550379777306,7.185,61.1,4.9671,2,242.0,17.8,392.83,4.03,34.7,331.8861979704252,647.2152087752479
0.0,0,-0.8107258613472078,6.998,45.8,6.0622,3,222.0,18.7,394.63,2.94,33.4,371.68458879379466,663.9517653444739
0.0,0,-0.8107258613472078,7.147,54.2,6.0622,3,222.0,18.7,396.9,5.33,36.2,364.0769087937947,663.661212416297
0.0,0,-0.8107258613472078,6.43,58.7,6.0622,3,222.0,18.7,394.12,5.21,28.7,346.73910879379474,655.7155671124297
12.5,0,-0.2385009211303417,6.012,66.6,5.5605,5,311.0,15.2,395.6,12.43,22.9,229.7099882980223,607.2748372753013
12.5,0,-0.2385009211303417,6.172,96.1,5.9505,5,311.0,15.2,396.9,19.15,27.1,261.2715060758,638.7685772753011
12.5,0,-0.2385009211303417,5.631,100.0,6.0821,5,311.0,15.2,386.63,29.93,16.5,264.5840827424667,656.9404516951907
12.5,0,-0.2385009211303417,6.004,85.9,6.5921,5,311.0,15.2,386.71,17.1,18.9,233.5122827424667,625.6878253968482
12.5,0,-0.2385009211303417,6.377,94.3,6.3467,5,311.0,15.2,392.52,20.45,15.0,252.7002327424667,640.1475635736437
12.5,0,-0.2385009211303417,6.009,82.9,6.2267,5,311.0,15.2,396.9,13.27,18.9,232.5544527424667,620.3548572753012
12.5,0,-0.2385009211303417,5.889,39.0,5.4509,5,311.0,15.2,390.5,15.71,21.7,242.79456496468896,590.1456202034781
0.0,0,-0.1171198732055518,5.949,61.8,4.7075,4,307.0,21.0,396.9,8.26,20.4,229.92113580565297,599.0456378259884
0.0,0,-0.1171198732055518,6.096,84.5,4.4619,4,307.0,21.0,380.02,10.26,18.2,215.62451358343077,624.9275759475355
0.0,0,-0.1171198732055518,5.834,56.5,4.4986,4,307.0,21.0,395.62,8.47,19.9,230.13486580565305,589.4971678259883
0.0,0,-0.1171198732055518,5.935,29.3,4.4986,4,307.0,21.0,386.85,6.58,23.1,247.88373913898636,596.6466857265408
0.0,0,-0.1171198732055518,5.99,81.7,4.2579,4,307.0,21.0,386.75,14.67,17.5,214.42075358343078,614.9638159475354
0.0,0,-0.1171198732055518,5.456,36.6,3.7965,4,307.0,21.0,288.99,11.69,20.2,300.7793924723197,688.8405988757122
0.0,0,-0.1171198732055518,5.727,69.5,3.7965,4,307.0,21.0,390.95,11.28,18.2,202.9504824723197,595.2446778259883
0.0,0,-0.1171198732055518,5.57,98.1,3.7979,4,307.0,21.0,376.57,21.02,13.6,225.40785025009748,647.1414059475353
